especie,longitud,latitud
Panstrongylus geniculatus,-73.388036,6.816613
Panstrongylus geniculatus,-73.388036,6.816613
Panstrongylus geniculatus,-73.517930,6.881710
Panstrongylus geniculatus,-73.440850,6.913596
Panstrongylus geniculatus,-73.440850,6.913596
Panstrongylus geniculatus,-73.415701,6.787188
Panstrongylus geniculatus,-73.467245,6.824033
Panstrongylus geniculatus,-73.467245,6.824033
Panstrongylus geniculatus,-73.467245,6.824033
Panstrongylus geniculatus,-73.467245,6.824033
Panstrongylus geniculatus,-73.641089,6.298583
Panstrongylus geniculatus,-73.362901,6.971211
Panstrongylus geniculatus,-73.362901,6.971211
Panstrongylus geniculatus,-73.362901,6.971211
Panstrongylus geniculatus,-73.362901,6.971211
Panstrongylus geniculatus,-73.362901,6.971211
Panstrongylus geniculatus,-71.122778,4.832972
Panstrongylus geniculatus,-70.760472,5.239222
Panstrongylus geniculatus,-75.047200,6.931100
Panstrongylus geniculatus,-74.969800,6.838300
Panstrongylus geniculatus,-74.956000,6.803500
Panstrongylus geniculatus,-75.209000,7.044600
Panstrongylus geniculatus,-75.241000,7.059500
Panstrongylus geniculatus,-75.281100,7.050000
Panstrongylus geniculatus,-75.281100,7.050000
Panstrongylus geniculatus,-75.286900,7.111700
Panstrongylus geniculatus,-75.202000,7.450760
Panstrongylus geniculatus,-75.467810,7.356780
Panstrongylus geniculatus,-74.774100,6.345600
Panstrongylus geniculatus,-75.146800,6.018000
Panstrongylus geniculatus,-75.146800,6.018000
Panstrongylus geniculatus,-75.168000,6.083300
Panstrongylus geniculatus,-75.064000,5.912200
Panstrongylus geniculatus,-75.160800,6.025700
Panstrongylus geniculatus,-75.162600,6.032000
Panstrongylus geniculatus,-75.162600,6.032000
Panstrongylus geniculatus,-75.117800,5.986100
Panstrongylus geniculatus,-75.207200,6.072100
Panstrongylus geniculatus,-75.207200,6.072100
Panstrongylus geniculatus,-75.193200,6.070700
Panstrongylus geniculatus,-75.193200,6.070700
Panstrongylus geniculatus,-74.735600,6.608100
Panstrongylus geniculatus,-74.721600,6.525200
Panstrongylus geniculatus,-74.806800,6.538700
Panstrongylus geniculatus,-75.182400,5.623000
Panstrongylus geniculatus,-75.194600,5.568500
Panstrongylus geniculatus,-75.863700,7.004200
Panstrongylus geniculatus,-74.471200,6.495500
Panstrongylus geniculatus,-74.505800,6.459000
Panstrongylus geniculatus,-74.964400,6.253200
Panstrongylus geniculatus,-74.964400,6.253200
Panstrongylus geniculatus,-74.964400,6.253200
Panstrongylus geniculatus,-74.964400,6.253200
Panstrongylus geniculatus,-74.964400,6.253200
Panstrongylus geniculatus,-74.964400,6.253200
Panstrongylus geniculatus,-74.895000,6.256800
Panstrongylus geniculatus,-74.895000,6.256800
Panstrongylus geniculatus,-74.954100,6.107700
Panstrongylus geniculatus,-74.917600,6.177700
Panstrongylus geniculatus,-74.902200,6.190500
Panstrongylus geniculatus,-74.974700,5.846800
Panstrongylus geniculatus,-75.003600,5.897700
Panstrongylus geniculatus,-75.003600,5.897700
Panstrongylus geniculatus,-75.050000,5.964000
Panstrongylus geniculatus,-75.114400,5.991400
Panstrongylus geniculatus,-74.999100,6.084700
Panstrongylus geniculatus,-74.999100,6.084700
Panstrongylus geniculatus,-74.927500,5.948900
Panstrongylus geniculatus,-74.969400,6.070200
Panstrongylus geniculatus,-74.969400,6.070200
Panstrongylus geniculatus,-74.916700,6.385600
Panstrongylus geniculatus,-74.966700,6.376600
Panstrongylus geniculatus,-74.966700,6.376600
Panstrongylus geniculatus,-74.966700,6.376600
Panstrongylus geniculatus,-74.929300,6.361700
Panstrongylus geniculatus,-74.929300,6.361700
Panstrongylus geniculatus,-74.936000,6.397700
Panstrongylus geniculatus,-75.050000,6.257700
Panstrongylus geniculatus,-75.035100,6.317600
Panstrongylus geniculatus,-75.035100,6.317600
Panstrongylus geniculatus,-75.065300,6.327500
Panstrongylus geniculatus,-75.065300,6.327500
Panstrongylus geniculatus,-75.067600,6.242300
Panstrongylus geniculatus,-75.067600,6.242300
Panstrongylus geniculatus,-75.067600,6.242300
Panstrongylus geniculatus,-74.951400,6.453200
Panstrongylus geniculatus,-75.034200,6.422500
Panstrongylus geniculatus,-74.854500,6.424800
Panstrongylus geniculatus,-75.034700,6.444600
Panstrongylus geniculatus,-74.957700,6.466700
Panstrongylus geniculatus,-74.970300,6.483300
Panstrongylus geniculatus,-74.989200,6.452700
Panstrongylus geniculatus,-74.989200,6.452700
Panstrongylus geniculatus,-74.989200,6.452700
Panstrongylus geniculatus,-75.324400,5.600000
Panstrongylus geniculatus,-75.370800,5.668300
Panstrongylus geniculatus,-75.370800,5.668300
Panstrongylus geniculatus,-75.370800,5.668300
Panstrongylus geniculatus,-75.370800,5.668300
Panstrongylus geniculatus,-75.367000,5.616800
Panstrongylus geniculatus,-75.312200,7.420800
Panstrongylus geniculatus,-74.733100,6.700000
Panstrongylus geniculatus,-74.920300,6.685600
Panstrongylus geniculatus,-74.920300,6.685600
Panstrongylus geniculatus,-74.828800,6.674300
Panstrongylus geniculatus,-74.828800,6.674300
Panstrongylus geniculatus,-74.828800,6.674300
Panstrongylus geniculatus,-74.981600,6.646400
