especie,longitud,latitud
Rhodnius prolixus,-72.367246,4.796547
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.287275,4.818043
Rhodnius prolixus,-72.207573,4.653625
Rhodnius prolixus,-72.207573,4.653625
Rhodnius prolixus,-72.207573,4.653625
Rhodnius prolixus,-72.207573,4.653625
Rhodnius prolixus,-72.207573,4.653625
Rhodnius prolixus,-72.207573,4.653625
Rhodnius prolixus,-72.207573,4.653625
Rhodnius prolixus,-72.092209,4.814587
Rhodnius prolixus,-72.092209,4.814587
Rhodnius prolixus,-72.216111,4.954444
Rhodnius prolixus,-72.092209,4.814587
Rhodnius prolixus,-72.258841,4.751862
Rhodnius prolixus,-72.258841,4.751862
Rhodnius prolixus,-72.258841,4.751862
Rhodnius prolixus,-72.258841,4.751862
Rhodnius prolixus,-72.258841,4.751862
Rhodnius prolixus,-72.258841,4.751862
Rhodnius prolixus,-72.258841,4.751862
Rhodnius prolixus,-72.258841,4.751862
Rhodnius prolixus,-72.258841,4.751862
Rhodnius prolixus,-72.383985,4.843349
Rhodnius prolixus,-72.383985,4.843349
Rhodnius prolixus,-72.383985,4.843349
Rhodnius prolixus,-72.383985,4.843349
Rhodnius prolixus,-72.383985,4.843349
Rhodnius prolixus,-72.383985,4.843349
Rhodnius prolixus,-72.393248,4.953262
Rhodnius prolixus,-72.393248,4.953262
Rhodnius prolixus,-72.393248,4.953262
Rhodnius prolixus,-72.005810,4.741084
Rhodnius prolixus,-72.005810,4.741084
Rhodnius prolixus,-72.005810,4.741084
Rhodnius prolixus,-72.005810,4.741084
Rhodnius prolixus,-72.442352,4.829428
Rhodnius prolixus,-72.442352,4.829428
Rhodnius prolixus,-72.442352,4.829428
Rhodnius prolixus,-72.442352,4.829428
Rhodnius prolixus,-72.442352,4.829428
Rhodnius prolixus,-72.442352,4.829428
Rhodnius prolixus,-72.102054,4.562284
Rhodnius prolixus,-72.102054,4.562284
Rhodnius prolixus,-72.102054,4.562284
Rhodnius prolixus,-72.240492,4.481709
Rhodnius prolixus,-72.240492,4.481709
Rhodnius prolixus,-72.240492,4.481709
Rhodnius prolixus,-72.240492,4.481709
Rhodnius prolixus,-72.240492,4.481709
Rhodnius prolixus,-72.240492,4.481709
Rhodnius prolixus,-72.150233,4.688158
Rhodnius prolixus,-72.150233,4.688158
Rhodnius prolixus,-72.150233,4.688158
Rhodnius prolixus,-72.150233,4.688158
Rhodnius prolixus,-72.150233,4.688158
Rhodnius prolixus,-72.150233,4.688158
Rhodnius prolixus,-72.150233,4.688158
Rhodnius prolixus,-72.180380,4.752014
Rhodnius prolixus,-72.180380,4.752014
Rhodnius prolixus,-72.180380,4.752014
Rhodnius prolixus,-72.180380,4.752014
Rhodnius prolixus,-72.180380,4.752014
Rhodnius prolixus,-72.180380,4.752014
